concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";14829
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";17434
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";14269
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";15097
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";12512
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 7";"Comercial";14696
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 7";"Comercial";12551
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 7";"Comercial";14973
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 7";"Comercial";12450
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";22462
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";24286
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";37994
